"죄종별","시점","발생건수[건]","검거건수[건]","발생건수 대비 검거건수[%]","검거인원[명]","남자검거인원[명]","여자검거인원[명]","불상검거인원[명]","법인체[개]",
"자동차손해배상보장법","2011 년","2603","2412","92.7","3208","2928","272","8","2",
"자동차손해배상보장법","2012 년","1772","1691","95.4","2390","2186","198","6","4",
"자동차손해배상보장법","2013 년","2320","2252","97.1","3287","2934","340","13","5",
"자동차손해배상보장법","2014 년","2598","2474","95.2","3414","3089","300","25","5",
"자동차손해배상보장법","2015 년","7279","3799","52.2","8145","4344","451","3350","28",
"자동차손해배상보장법","2016 년","27734","26435","95.3","29057","25702","3245","110","9",
"자동차손해배상보장법","2017 년","15506","15233","98.2","17140","15132","1972","36","5",
"자동차손해배상보장법","2018 년","5688","5609","98.6","6592","5910","660","22","4",
"자동차손해배상보장법","2019 년","4973","4814","96.8","5576","5018","542","16","4",
"자동차손해배상보장법","2020 년","4548","4366","96","5363","4829","513","21","3",
"자동차손해배상보장법","2021 년","3849","3695","96","4333","4038","282","13","4",
"자동차손해배상보장법","2022 년","3571","3403","95.3","3901","3636","252","13","2",
"자연공원법","2011 년","104","98","94.2","136","111","22","3","1",
"자연공원법","2012 년","82","80","97.6","107","91","14","2","1",
"자연공원법","2013 년","99","94","94.9","113","98","14","1","2",
"자연공원법","2014 년","102","102","100","138","128","9","1","1",
"자연공원법","2015 년","136","130","95.6","151","133","13","5","6",
"자연공원법","2016 년","112","110","98.2","145","119","25","1","6",
"자연공원법","2017 년","124","121","97.6","158","137","18","3","5",
"자연공원법","2018 년","119","114","95.8","134","114","17","3","7",
"자연공원법","2019 년","107","102","95.3","113","94","17","2","3",
"자연공원법","2020 년","133","129","97","163","135","19","9","3",
"자연공원법","2021 년","99","86","86.9","113","97","13","3","1",
"자연공원법","2022 년","81","71","87.7","87","73","7","7","2",
"장물에관한죄","2011 년","2536","2493","98.3","4984","4079","837","68","-",
"장물에관한죄","2012 년","3717","3560","95.8","5339","4660","584","95","-",
"장물에관한죄","2013 년","6051","5858","96.8","7153","6393","641","119","2",
"장물에관한죄","2014 년","3374","3311","98.1","5009","4292","606","111","4",
"장물에관한죄","2015 년","4188","4072","97.2","4783","4127","582","74","",
"장물에관한죄","2016 년","2043","2075","101.6","3867","3257","546","64","1",
"장물에관한죄","2017 년","1899","1883","99.2","3185","2619","482","84","-",
"장물에관한죄","2018 년","929","895","96.3","1818","1508","282","28","1",
"장물에관한죄","2019 년","890","860","96.6","1454","1191","231","32","3",
"장물에관한죄","2020 년","601","574","95.5","1127","891","192","44","1",
"장물에관한죄","2021 년","287","264","92","619","521","92","6","-",
"장물에관한죄","2022 년","235","230","97.9","569","455","109","5","-",
"장사등에관한법률","2011 년","86","81","94.2","110","100","10","-","5",
"장사등에관한법률","2012 년","125","119","95.2","163","150","9","4","10",
"장사등에관한법률","2013 년","99","97","98","133","124","6","3","",
"장사등에관한법률","2014 년","106","99","93.4","155","141","11","3","4",
"장사등에관한법률","2015 년","91","84","92.3","160","141","15","4","7",
"장사등에관한법률","2016 년","74","68","91.9","104","87","15","2","3",
"장사등에관한법률","2017 년","95","88","92.6","870","107","10","753","2",
"장사등에관한법률","2018 년","86","80","93","108","95","10","3","4",
"장사등에관한법률","2019 년","110","104","94.5","140","131","8","1","13",
"장사등에관한법률","2020 년","95","81","85.3","139","126","10","3","3",
"장사등에관한법률","2021 년","70","61","87.1","87","83","-","4","2",
"장사등에관한법률","2022 년","54","45","83.3","72","66","6","-","3",
"재난및안전관리기본법","2011 년","4","4","100","7","3","4","-","1",
"재난및안전관리기본법","2012 년","3","3","100","3","3","-","-","-",
"재난및안전관리기본법","2013 년","3","3","100","2","","2","","1",
"재난및안전관리기본법","2014 년","1","1","100","1","1","","","",
"재난및안전관리기본법","2015 년","4","4","100","4","4","","","2",
"재난및안전관리기본법","2016 년","6","5","83.3","9","6","3","-","-",
"재난및안전관리기본법","2017 년","4","5","125","5","4","1","-","1",
"재난및안전관리기본법","2018 년","5","5","100","9","7","2","-","1",
"재난및안전관리기본법","2019 년","2","2","100","3","3","-","-","-",
"재난및안전관리기본법","2020 년","5","5","100","5","5","-","-","2",
"재난및안전관리기본법","2021 년","7","6","85.7","11","7","4","-","2",
"재난및안전관리기본법","2022 년","2","2","100","2","2","-","-","1",
"전기통신기본법","2011 년","75","68","90.7","124","88","27","9","6",
"전기통신기본법","2012 년","93","74","79.6","180","133","35","12","4",
"전기통신기본법","2013 년","57","44","77.2","112","93","13","6","5",
"전기통신기본법","2014 년","60","48","80","124","101","15","8","7",
"전기통신기본법","2015 년","151","122","80.8","584","511","47","26","33",
"전기통신기본법","2016 년","295","277","93.9","553","472","56","25","18",
"전기통신기본법","2017 년","343","327","95.3","1321","1084","198","39","14",
"전기통신기본법","2018 년","556","499","89.7","1886","1482","328","76","32",
"전기통신기본법","2019 년","820","778","94.9","2351","1803","462","86","12",
"전기통신기본법","2020 년","1641","1529","93.2","3869","3090","627","152","3",
"전기통신기본법","2021 년","4567","3793","83.1","5454","3998","1024","432","28",
"전기통신기본법","2022 년","5294","4936","93.2","6846","5442","1273","131","3",
"전파법","2011 년","8","8","100","9","9","-","-","2",
"전파법","2012 년","21","21","100","17","16","1","-","2",
"전파법","2013 년","14","11","78.6","9","8","1","","1",
"전파법","2014 년","5","5","100","5","4","","1","3",
"전파법","2015 년","22","19","86.4","42","38","3","1","7",
"전파법","2016 년","118","81","68.6","56","48","7","1","4",
"전파법","2017 년","77","74","96.1","121","107","13","1","11",
"전파법","2018 년","52","50","96.2","64","60","2","2","8",
"전파법","2019 년","970","968","99.8","91","86","5","-","-",
"전파법","2020 년","61","62","101.6","32","31","1","-","10",
