"구분별(1)","시점",① 전혀 동의하지 않는다 (%),② 별로 동의하지 않는다 (%),③ 약간 동의한다 (%),④ 매우 동의한다 (%),평균 (점)
"전체","2013",0.4,6.1,60.1,33.3,3.3
"전체","2014",0.8,8.4,58.4,32.4,3.2
"전체","2015",1.0,8.1,57.4,33.5,3.2
"전체","2016",1.0,9.9,61.6,27.5,3.2
"전체","2017",0.6,11.8,65.6,22.0,3.1
"전체","2018",1.1,13.1,65.5,20.3,3.1
"전체","2019",2.0,15.2,63.8,19.0,3.0
"전체","2020",0.8,12.3,69.2,17.8,3.0
"전체","2021",1.3,15.9,68.2,14.6,3.0
"전체","2022",2.1,15.2,64.6,18.1,3.0
