DATE,RRPONTSYD
2021-01-04,0.001
2021-01-05,0.005
2021-01-06,0.004
2021-01-07,0.001
2021-01-08,0.0
2021-01-11,0.0
2021-01-12,0.0
2021-01-13,0.0
2021-01-14,0.6
2021-01-15,0.0
2021-01-18,.
2021-01-19,0.004
2021-01-20,1.806
2021-01-21,1.201
2021-01-22,0.0
2021-01-25,2.2
2021-01-26,1.631
2021-01-27,1.152
2021-01-28,2.655
2021-01-29,7.1
2021-02-01,0.012
2021-02-02,0.011
2021-02-03,0.178
2021-02-04,0.5
2021-02-05,0.01
2021-02-08,0.002
2021-02-09,0.001
2021-02-10,0.0
2021-02-11,0.108
2021-02-12,0.001
2021-02-15,.
2021-02-16,0.004
2021-02-17,0.05
2021-02-18,0.0
2021-02-19,0.002
2021-02-22,1.1
2021-02-23,0.435
2021-02-24,0.001
2021-02-25,9.976
2021-02-26,11.2
2021-03-01,0.0
2021-03-02,0.005
2021-03-03,0.507
2021-03-04,2.1
2021-03-05,1.0
2021-03-08,0.025
2021-03-09,0.0
2021-03-10,0.1
2021-03-11,11.051
2021-03-12,6.8
2021-03-15,0.003
2021-03-16,0.702
2021-03-17,0.0
2021-03-18,26.57
2021-03-19,18.908
2021-03-22,22.242
2021-03-23,19.526
2021-03-24,21.902
2021-03-25,10.1
2021-03-26,11.45
2021-03-29,40.354
2021-03-30,104.725
2021-03-31,134.307
2021-04-01,.
2021-04-02,.
2021-04-05,3.45
2021-04-06,18.951
2021-04-07,35.035
2021-04-08,27.64
2021-04-09,31.265
2021-04-12,30.221
2021-04-13,37.543
2021-04-14,50.856
2021-04-15,28.626
2021-04-16,39.94
2021-04-19,53.798
2021-04-20,67.747
2021-04-21,81.329
2021-04-22,102.644
2021-04-23,73.794
2021-04-26,100.916
2021-04-27,142.172
2021-04-28,166.732
2021-04-29,173.469
2021-04-30,183.234
2021-05-03,129.724
2021-05-04,147.806
2021-05-05,162.8
2021-05-06,154.921
2021-05-07,161.856
2021-05-10,175.548
2021-05-11,181.753
2021-05-12,209.257
2021-05-13,235.217
2021-05-14,241.185
2021-05-17,208.96
2021-05-18,243.47
2021-05-19,293.998
2021-05-20,351.121
2021-05-21,369.046
2021-05-24,394.941
2021-05-25,432.955
2021-05-26,450.283
2021-05-27,485.329
2021-05-28,479.498
2021-05-31,.
2021-06-01,447.985
2021-06-02,438.778
2021-06-03,479.102
2021-06-04,483.349
2021-06-07,486.097
2021-06-08,497.428
2021-06-09,502.904
2021-06-10,534.943
2021-06-11,547.808
2021-06-14,583.892
2021-06-15,509.559
2021-06-16,520.942
2021-06-17,755.8
2021-06-18,747.121
2021-06-21,765.141
2021-06-22,791.605
2021-06-23,813.65
2021-06-24,813.048
2021-06-25,770.83
2021-06-28,803.019
2021-06-29,841.246
2021-06-30,991.939
2021-07-01,742.647
2021-07-02,731.504
2021-07-05,.
2021-07-06,772.581
2021-07-07,785.72
2021-07-08,793.399
2021-07-09,780.596
2021-07-12,776.472
2021-07-13,798.267
2021-07-14,859.975
2021-07-15,776.261
2021-07-16,817.566
2021-07-19,860.468
2021-07-20,848.102
2021-07-21,886.206
2021-07-22,898.197
2021-07-23,877.251
2021-07-26,891.203
2021-07-27,927.419
2021-07-28,965.189
2021-07-29,987.283
2021-07-30,1039.394
2021-08-02,921.317
2021-08-03,909.442
2021-08-04,931.755
2021-08-05,944.335
2021-08-06,952.134
2021-08-09,981.765
2021-08-10,998.654
2021-08-11,1000.46
2021-08-12,1087.342
2021-08-13,1050.941
2021-08-16,1036.418
2021-08-17,1053.454
2021-08-18,1115.656
2021-08-19,1109.938
2021-08-20,1111.905
2021-08-23,1135.697
2021-08-24,1129.737
2021-08-25,1147.089
2021-08-26,1091.792
2021-08-27,1120.015
2021-08-30,1140.711
2021-08-31,1189.616
2021-09-01,1084.115
2021-09-02,1066.987
2021-09-03,1074.707
2021-09-06,.
2021-09-07,1079.945
2021-09-08,1115.229
2021-09-09,1107.659
2021-09-10,1099.323
2021-09-13,1087.108
2021-09-14,1169.28
2021-09-15,1081.342
2021-09-16,1147.494
2021-09-17,1218.303
2021-09-20,1224.289
2021-09-21,1240.494
2021-09-22,1283.281
2021-09-23,1352.483
2021-09-24,1313.657
2021-09-27,1297.05
2021-09-28,1365.185
2021-09-29,1415.84
2021-09-30,1604.881
2021-10-01,1385.991
2021-10-04,1399.173
2021-10-05,1431.18
2021-10-06,1451.175
2021-10-07,1375.863
2021-10-08,1371.958
2021-10-11,.
2021-10-12,1367.051
2021-10-13,1364.701
2021-10-14,1445.66
2021-10-15,1462.297
2021-10-18,1477.114
2021-10-19,1470.739
2021-10-20,1493.961
2021-10-21,1458.605
2021-10-22,1403.02
2021-10-25,1413.188
2021-10-26,1423.198
2021-10-27,1433.37
2021-10-28,1384.684
2021-10-29,1502.296
2021-11-01,1358.606
2021-11-02,1329.913
2021-11-03,1343.985
2021-11-04,1348.539
2021-11-05,1354.059
2021-11-08,1354.382
2021-11-09,1377.197
2021-11-10,1448.623
2021-11-11,.
2021-11-12,1417.643
2021-11-15,1391.657
2021-11-16,1466.857
2021-11-17,1520.0
2021-11-18,1584.097
2021-11-19,1575.384
2021-11-22,1573.769
2021-11-23,1571.98
2021-11-24,1452.897
2021-11-25,.
2021-11-26,1451.108
2021-11-29,1459.339
2021-11-30,1517.956
2021-12-01,1427.347
2021-12-02,1448.585
2021-12-03,1475.464
2021-12-06,1487.996
2021-12-07,1455.038
2021-12-08,1484.192
2021-12-09,1500.027
2021-12-10,1507.147
2021-12-13,1599.768
2021-12-14,1584.488
2021-12-15,1621.097
2021-12-16,1657.626
2021-12-17,1704.586
2021-12-20,1758.041
2021-12-21,1748.285
2021-12-22,1699.277
2021-12-23,1577.78
2021-12-24,.
2021-12-27,1580.347
2021-12-28,1637.064
2021-12-29,1642.506
2021-12-30,1696.476
2021-12-31,1904.582
2022-01-03,1579.526
2022-01-04,1495.692
2022-01-05,1492.787
2022-01-06,1510.553
2022-01-07,1530.096
2022-01-10,1560.421
2022-01-11,1527.02
2022-01-12,1536.981
2022-01-13,1636.742
2022-01-14,1598.887
2022-01-17,.
2022-01-18,1597.137
2022-01-19,1656.576
2022-01-20,1678.931
2022-01-21,1706.127
2022-01-24,1614.002
2022-01-25,1599.502
2022-01-26,1613.046
2022-01-27,1583.895
2022-01-28,1615.021
2022-01-31,1654.85
2022-02-01,1584.109
2022-02-02,1626.895
2022-02-03,1640.397
2022-02-04,1642.892
2022-02-07,1679.932
2022-02-08,1674.61
2022-02-09,1653.153
2022-02-10,1634.146
2022-02-11,1635.826
2022-02-14,1666.232
2022-02-15,1608.494
2022-02-16,1644.134
2022-02-17,1647.202
2022-02-18,1674.929
2022-02-21,.
