Date,High,Low,Close,Open,Adj Close
2004-03-01,1157.4499511718750000000000000000000000000000000000000000000000000000,1144.9399414062500000000000000000000000000000000000000000000000000000,1155.9699707031250000000000000000000000000000000000000000000000000000,1144.9399414062500000000000000000000000000000000000000000000000000000,1155.9699707031250000000000000000000000000000000000000000000000000000
2004-03-02,1156.5400390625000000000000000000000000000000000000000000000000000000,1147.3100585937500000000000000000000000000000000000000000000000000000,1149.0999755859375000000000000000000000000000000000000000000000000000,1155.9699707031250000000000000000000000000000000000000000000000000000,1149.0999755859375000000000000000000000000000000000000000000000000000
2004-03-03,1152.4399414062500000000000000000000000000000000000000000000000000000,1143.7800292968750000000000000000000000000000000000000000000000000000,1151.0300292968750000000000000000000000000000000000000000000000000000,1149.0999755859375000000000000000000000000000000000000000000000000000,1151.0300292968750000000000000000000000000000000000000000000000000000
2004-03-04,1154.9699707031250000000000000000000000000000000000000000000000000000,1149.8100585937500000000000000000000000000000000000000000000000000000,1154.8699951171875000000000000000000000000000000000000000000000000000,1151.0300292968750000000000000000000000000000000000000000000000000000,1154.8699951171875000000000000000000000000000000000000000000000000000
2004-03-05,1163.2299804687500000000000000000000000000000000000000000000000000000,1148.7700195312500000000000000000000000000000000000000000000000000000,1156.8599853515625000000000000000000000000000000000000000000000000000,1154.8699951171875000000000000000000000000000000000000000000000000000,1156.8599853515625000000000000000000000000000000000000000000000000000
2004-03-08,1159.9399414062500000000000000000000000000000000000000000000000000000,1146.9699707031250000000000000000000000000000000000000000000000000000,1147.1999511718750000000000000000000000000000000000000000000000000000,1156.8599853515625000000000000000000000000000000000000000000000000000,1147.1999511718750000000000000000000000000000000000000000000000000000
2004-03-09,1147.3199462890625000000000000000000000000000000000000000000000000000,1136.8399658203125000000000000000000000000000000000000000000000000000,1140.5799560546875000000000000000000000000000000000000000000000000000,1147.1999511718750000000000000000000000000000000000000000000000000000,1140.5799560546875000000000000000000000000000000000000000000000000000
2004-03-10,1141.4499511718750000000000000000000000000000000000000000000000000000,1122.5300292968750000000000000000000000000000000000000000000000000000,1123.8900146484375000000000000000000000000000000000000000000000000000,1140.5799560546875000000000000000000000000000000000000000000000000000,1123.8900146484375000000000000000000000000000000000000000000000000000
2004-03-11,1125.9599609375000000000000000000000000000000000000000000000000000000,1105.8699951171875000000000000000000000000000000000000000000000000000,1106.7800292968750000000000000000000000000000000000000000000000000000,1123.8900146484375000000000000000000000000000000000000000000000000000,1106.7800292968750000000000000000000000000000000000000000000000000000
2004-03-12,1120.6300048828125000000000000000000000000000000000000000000000000000,1106.7800292968750000000000000000000000000000000000000000000000000000,1120.5699462890625000000000000000000000000000000000000000000000000000,1106.7800292968750000000000000000000000000000000000000000000000000000,1120.5699462890625000000000000000000000000000000000000000000000000000
2004-03-15,1120.5699462890625000000000000000000000000000000000000000000000000000,1103.3599853515625000000000000000000000000000000000000000000000000000,1104.4899902343750000000000000000000000000000000000000000000000000000,1120.5699462890625000000000000000000000000000000000000000000000000000,1104.4899902343750000000000000000000000000000000000000000000000000000
2004-03-16,1113.7600097656250000000000000000000000000000000000000000000000000000,1102.6099853515625000000000000000000000000000000000000000000000000000,1110.6999511718750000000000000000000000000000000000000000000000000000,1104.4899902343750000000000000000000000000000000000000000000000000000,1110.6999511718750000000000000000000000000000000000000000000000000000
2004-03-17,1125.7600097656250000000000000000000000000000000000000000000000000000,1110.6999511718750000000000000000000000000000000000000000000000000000,1123.7500000000000000000000000000000000000000000000000000000000000000,1110.6999511718750000000000000000000000000000000000000000000000000000,1123.7500000000000000000000000000000000000000000000000000000000000000
2004-03-18,1125.5000000000000000000000000000000000000000000000000000000000000000,1113.2500000000000000000000000000000000000000000000000000000000000000,1122.3199462890625000000000000000000000000000000000000000000000000000,1123.7500000000000000000000000000000000000000000000000000000000000000,1122.3199462890625000000000000000000000000000000000000000000000000000
2004-03-19,1122.7199707031250000000000000000000000000000000000000000000000000000,1109.6899414062500000000000000000000000000000000000000000000000000000,1109.7800292968750000000000000000000000000000000000000000000000000000,1122.3199462890625000000000000000000000000000000000000000000000000000,1109.7800292968750000000000000000000000000000000000000000000000000000
2004-03-22,1109.7800292968750000000000000000000000000000000000000000000000000000,1089.5400390625000000000000000000000000000000000000000000000000000000,1095.4000244140625000000000000000000000000000000000000000000000000000,1109.7800292968750000000000000000000000000000000000000000000000000000,1095.4000244140625000000000000000000000000000000000000000000000000000
2004-03-23,1101.5200195312500000000000000000000000000000000000000000000000000000,1091.5699462890625000000000000000000000000000000000000000000000000000,1093.9499511718750000000000000000000000000000000000000000000000000000,1095.4000244140625000000000000000000000000000000000000000000000000000,1093.9499511718750000000000000000000000000000000000000000000000000000
2004-03-24,1098.3199462890625000000000000000000000000000000000000000000000000000,1087.1600341796875000000000000000000000000000000000000000000000000000,1091.3299560546875000000000000000000000000000000000000000000000000000,1093.9499511718750000000000000000000000000000000000000000000000000000,1091.3299560546875000000000000000000000000000000000000000000000000000
2004-03-25,1110.3800048828125000000000000000000000000000000000000000000000000000,1091.3299560546875000000000000000000000000000000000000000000000000000,1109.1899414062500000000000000000000000000000000000000000000000000000,1091.3299560546875000000000000000000000000000000000000000000000000000,1109.1899414062500000000000000000000000000000000000000000000000000000
2004-03-26,1115.2700195312500000000000000000000000000000000000000000000000000000,1106.1300048828125000000000000000000000000000000000000000000000000000,1108.0600585937500000000000000000000000000000000000000000000000000000,1109.1899414062500000000000000000000000000000000000000000000000000000,1108.0600585937500000000000000000000000000000000000000000000000000000
2004-03-29,1124.3699951171875000000000000000000000000000000000000000000000000000,1108.0600585937500000000000000000000000000000000000000000000000000000,1122.4699707031250000000000000000000000000000000000000000000000000000,1108.0600585937500000000000000000000000000000000000000000000000000000,1122.4699707031250000000000000000000000000000000000000000000000000000
