"자치구별(1)","시점",모의 평균 출산 연령 (세),출생아수 (명),모의 연령별 출생아수 (세),모의 연령별 출생아수 (세),모의 연령별 출생아수 (세),모의 연령별 출생아수 (세),모의 연령별 출생아수 (세),모의 연령별 출생아수 (세),모의 연령별 출생아수 (세)
"자치구별(1)","시점",소계,소계,15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세
"합계","2012",32.26,93914,353,2652,20545,49918,17898,2463,68
"합계","2013",32.47,84066,359,2411,16477,45022,17349,2265,50
"합계","2014",32.69,83711,285,2299,15155,44941,18240,2595,50
"합계","2015",32.85,83005,273,2215,14345,43623,19789,2580,63
"합계","2016",33.07,75536,239,1837,12467,38274,19971,2606,64
